ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_2292387,-0.13,-0.15,-0.15,-0.08,-0.73
ILMN_2372773,-0.13,-0.15,-0.15,-0.08,-0.73
ILMN_1793849,-0.13,-0.15,-0.15,-0.08,-0.73
ILMN_1715069,-0.13,-0.15,-0.15,-0.08,-0.73
ILMN_3274014,0.12,-0.05,-0.06,0.03,-0.44
ILMN_3256445,0,-0.22,-0.16,-0.2,-0.64
ILMN_3214532,0.16,0.01,-0.01,0.18,-0.64
ILMN_3283775,0.16,0.01,-0.01,0.18,-0.64
ILMN_3288587,-0.06,-0.02,0.02,-0.46,-0.05
ILMN_3284177,-0.1,-0.39,-0.35,-0.28,-0.64
ILMN_3247325,-0.11,0.18,-0.08,-0.47,-0.17
ILMN_1757995,0.25,0.2,-0.07,0.4,-0.2
ILMN_2354237,0.25,0.2,-0.07,0.4,-0.2
ILMN_1655561,-0.36,-0.13,-0.25,-0.63,0
ILMN_1657153,-0.06,-0.2,-0.02,-0.24,-0.48
ILMN_1775405,0.16,0.19,0.13,-0.29,-0.31
ILMN_1704842,0.16,0.19,0.13,-0.29,-0.31
ILMN_1753663,0.16,0.19,0.13,-0.29,-0.31
ILMN_1743241,0.16,0.19,0.13,-0.29,-0.31
ILMN_2369953,0.16,0.19,0.13,-0.29,-0.31
ILMN_2357809,0.14,0.28,0.12,0.21,-0.46
ILMN_2344455,0.14,0.28,0.12,0.21,-0.46
ILMN_1806845,-0.05,0.05,0.05,-0.3,0.14
ILMN_1711886,-0.05,0.05,0.05,-0.3,0.14
ILMN_1749218,0.2,-0.15,0.11,0.08,-0.44
ILMN_2122669,0.2,-0.15,0.11,0.08,-0.44
ILMN_1737396,-0.2,-0.04,-0.14,-0.37,-0.22
ILMN_2392189,-0.06,0.11,0.3,0.44,0.03
ILMN_2148452,0.21,-0.06,0.13,-0.21,-0.57
ILMN_1751760,0.21,-0.06,0.13,-0.21,-0.57
ILMN_2363065,0.16,0.17,0.42,0.41,-0.39
ILMN_1691001,0.16,0.17,0.42,0.41,-0.39
ILMN_2320906,0.16,0.17,0.42,0.41,-0.39
ILMN_1651652,0.16,0.17,0.42,0.41,-0.39
ILMN_1669553,-0.22,-0.13,-0.2,-0.39,-0.14
ILMN_1765714,-0.22,-0.13,-0.2,-0.39,-0.14
ILMN_1708463,-0.22,-0.13,-0.2,-0.39,-0.14
ILMN_1661699,-0.22,-0.13,-0.2,-0.39,-0.14
ILMN_1733142,-0.22,-0.13,-0.2,-0.39,-0.14
ILMN_1809652,-0.22,-0.13,-0.2,-0.39,-0.14
ILMN_2390338,-0.22,-0.13,-0.2,-0.39,-0.14
ILMN_2192693,0.03,0.32,0.15,0.43,-0.52
ILMN_2192694,0.03,0.32,0.15,0.43,-0.52
ILMN_1774513,-0.13,-0.22,-0.11,-0.11,-0.6
ILMN_2371590,-0.13,-0.22,-0.11,-0.11,-0.6
ILMN_1675124,-0.13,-0.22,-0.11,-0.11,-0.6
ILMN_1668822,0.25,0.16,0.1,0.4,0.1
ILMN_1728471,0.1,-0.23,0.09,-0.05,-0.55
ILMN_2221408,0.1,-0.23,0.09,-0.05,-0.55
ILMN_1655663,0.12,0.07,0.06,0.18,0.36
ILMN_1696956,-0.06,0.02,-0.11,-0.35,0.03
ILMN_1675848,-0.02,-0.25,-0.45,-0.78,-0.02
ILMN_2204983,-0.09,-0.14,-0.13,-0.16,-0.51
ILMN_1744059,-0.09,-0.14,-0.13,-0.16,-0.51
ILMN_1717868,0.23,0.27,0.36,-0.17,-0.58
ILMN_1787275,0.11,-0.2,0,0.46,-0.1
ILMN_2206716,0.13,-0.24,-0.06,0.32,0.19
ILMN_1691861,0.3,0.17,-0.12,0.2,0.34
ILMN_1664098,0.3,0.17,-0.12,0.2,0.34
ILMN_2407464,0.3,0.17,-0.12,0.2,0.34
ILMN_1815656,-0.05,0.16,0.16,-0.1,-0.55
ILMN_1665065,-0.05,0.16,0.16,-0.1,-0.55
ILMN_1713752,-0.05,0.16,0.16,-0.1,-0.55
ILMN_1798952,0.04,-0.14,0.17,0.14,0.43
ILMN_1713901,0.04,-0.14,0.17,0.14,0.43
ILMN_1722820,0.04,-0.14,0.17,0.14,0.43
ILMN_1708025,0.31,-0.23,-0.21,0.46,-0.28
ILMN_2323087,0.31,-0.23,-0.21,0.46,-0.28
ILMN_1668608,0.31,-0.23,-0.21,0.46,-0.28
ILMN_1728218,0.31,-0.23,-0.21,0.46,-0.28
ILMN_2264597,0.11,-0.21,-0.21,0.28,0.11
ILMN_1760180,0.11,-0.21,-0.21,0.28,0.11
ILMN_2382648,0.11,-0.21,-0.21,0.28,0.11
ILMN_1684929,-0.08,0.12,0.17,-0.54,-0.2
ILMN_1669484,-0.06,-0.24,0.03,0.42,0
ILMN_2230592,-0.17,0.05,0.15,-0.33,-0.54
ILMN_1713143,-0.17,0.05,0.15,-0.33,-0.54
ILMN_1709396,-0.26,0.27,0.12,-0.39,-0.71
ILMN_2365196,-0.26,0.27,0.12,-0.39,-0.71
ILMN_1766024,-0.26,0.27,0.12,-0.39,-0.71
ILMN_2269002,-0.26,0.27,0.12,-0.39,-0.71
ILMN_1779401,-0.16,-0.32,-0.22,-0.48,-0.08
ILMN_1722438,0.22,0.08,0.19,0.26,0.33
ILMN_1809272,0.22,0.08,0.19,0.26,0.33
ILMN_1796106,0.22,0.08,0.19,0.26,0.33
ILMN_1781431,0.18,-0.11,0.19,0.4,0.09
ILMN_1738589,0.23,-0.11,0.35,-0.35,0.26
ILMN_1657708,0.23,-0.11,0.35,-0.35,0.26
ILMN_1707310,0.23,-0.11,0.35,-0.35,0.26
ILMN_2046315,0.22,-0.11,-0.07,-0.05,-0.67
ILMN_1796458,0.22,-0.11,-0.07,-0.05,-0.67
ILMN_2215640,0.27,-0.03,-0.22,-0.1,-0.61
ILMN_2215639,0.27,-0.03,-0.22,-0.1,-0.61
ILMN_1697952,0.16,-0.05,0.11,0.07,0.34
ILMN_2405602,0.16,-0.05,0.11,0.07,0.34
ILMN_1773063,0.16,-0.05,0.11,0.07,0.34
ILMN_1724139,0.05,0.04,0.26,0.4,0.01
