ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_1655561,-0.23,-0.31,-0.73,-0.42,-0.4
ILMN_1768035,0.28,0.88,0.53,0.32,0.15
ILMN_2073758,0.28,0.88,0.53,0.32,0.15
ILMN_1787815,-0.08,0.9,0.08,-0.23,0.09
ILMN_1701832,-0.11,-0.03,-0.76,-0.07,0.04
ILMN_1652314,0.2,0.16,0.44,0.09,0.57
ILMN_1712773,0.2,0.16,0.44,0.09,0.57
ILMN_2367681,0.2,0.16,0.44,0.09,0.57
ILMN_1705522,0.2,0.16,0.44,0.09,0.57
ILMN_1682038,0.56,0.24,0.18,0.1,-0.07
ILMN_1704961,-0.15,-0.13,-0.5,0.01,-0.11
ILMN_2053178,-0.15,-0.13,-0.5,0.01,-0.11
ILMN_1757099,0.19,-0.8,0.1,0,0.05
ILMN_NORMAX,0.9,0.9,0.9,0.9,0.9
ILMN_NORMIN,-0.8,-0.8,-0.8,-0.8,-0.8
