ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_1803686,-0.03,0,-0.12,0.35,0.11
ILMN_1779228,0.11,-0.01,-0.11,-0.5,0.02
ILMN_3247350,-0.08,0.05,0.23,0.41,0.2
ILMN_1887731,-0.08,0.05,0.23,0.41,0.2
ILMN_1784709,-0.02,-0.08,-0.19,-0.27,-0.14
ILMN_3309349,-0.02,0.04,0.06,-0.3,0.04
ILMN_3244154,0.12,0.17,0.37,0.08,0.12
ILMN_3194949,0.27,-0.04,-0.14,-0.33,-0.05
ILMN_3271412,0.27,-0.04,-0.14,-0.33,-0.05
ILMN_3261273,-0.11,-0.23,0.01,0.35,0.06
ILMN_3179891,-0.11,-0.23,0.01,0.35,0.06
ILMN_3242507,-0.03,-0.06,0.18,-0.23,-0.16
ILMN_3257482,0.02,-0.05,0.09,0.33,0.01
ILMN_3259726,0.08,-0.2,-0.22,-0.33,-0.03
ILMN_3182005,0.08,-0.2,-0.22,-0.33,-0.03
ILMN_3246699,0.08,-0.2,-0.22,-0.33,-0.03
ILMN_3263243,-0.03,-0.02,0.32,-0.09,0.03
ILMN_3186782,-0.03,-0.02,0.32,-0.09,0.03
ILMN_3261747,-0.07,-0.09,-0.09,-0.31,-0.23
ILMN_3263694,-0.03,-0.18,-0.34,-0.55,-0.14
ILMN_3187231,-0.03,-0.18,-0.34,-0.55,-0.14
ILMN_3271179,0.1,0.04,0.16,-0.39,0.02
ILMN_3255144,-0.16,0.02,0.32,0.38,0.25
ILMN_3273229,-0.16,-0.04,-0.27,-0.13,-0.11
ILMN_3197097,-0.07,0.08,-0.07,-0.4,-0.15
ILMN_3234456,-0.07,0.08,-0.07,-0.4,-0.15
ILMN_3235188,-0.07,0.08,-0.07,-0.4,-0.15
ILMN_3283775,0.3,0.08,0.21,-0.76,-0.11
ILMN_3214532,0.3,0.08,0.21,-0.76,-0.11
ILMN_3204040,0.22,-0.06,0.03,-0.34,0.04
ILMN_3289262,0.22,-0.06,0.03,-0.34,0.04
ILMN_3234605,-0.06,-0.04,-0.29,0.1,-0.04
ILMN_3215367,-0.06,-0.04,-0.29,0.1,-0.04
ILMN_3208233,-0.16,-0.13,-0.26,0.12,-0.09
ILMN_3240403,0.08,0.07,0.03,0.27,0.06
ILMN_3280628,0.09,-0.08,-0.09,-0.49,-0.16
ILMN_3212312,0.09,-0.08,-0.09,-0.49,-0.16
ILMN_3204136,0.08,-0.07,-0.25,-0.27,-0.21
ILMN_3230337,0.08,-0.07,-0.25,-0.27,-0.21
ILMN_3231439,0.08,-0.07,-0.25,-0.27,-0.21
ILMN_3218258,-0.03,-0.08,-0.23,-0.35,-0.17
ILMN_3283015,-0.03,-0.08,-0.23,-0.35,-0.17
ILMN_3214389,0.11,0.07,0.33,0.25,0.51
ILMN_3246474,-0.06,-0.06,-0.33,-0.16,-0.19
ILMN_3246005,0.08,-0.41,-0.59,-0.56,-0.47
ILMN_3234989,-0.09,-0.05,0.36,0.06,0.11
ILMN_3236021,0.2,-0.2,-0.25,-0.7,-0.43
ILMN_1752046,0.18,0.24,0.27,0.3,0.25
ILMN_1700337,-0.26,-0.14,0.54,0.69,0.08
ILMN_3308828,-0.13,0.09,-0.01,-0.3,-0.19
ILMN_1669842,0.07,0.11,0.31,-0.03,0.12
ILMN_1757995,0.08,0.05,0.33,0.04,0.02
ILMN_2354237,0.08,0.05,0.33,0.04,0.02
ILMN_2190624,0.23,-0.08,-0.21,-0.12,0.19
ILMN_1766675,0.23,-0.08,-0.21,-0.12,0.19
ILMN_2300636,-0.04,0.08,-0.12,0.23,-0.2
ILMN_1758333,-0.04,0.08,-0.12,0.23,-0.2
ILMN_3257884,-0.04,0.08,-0.12,0.23,-0.2
ILMN_3181420,-0.04,0.08,-0.12,0.23,-0.2
ILMN_1793770,-0.41,-0.22,-0.51,-0.24,-0.23
ILMN_2402416,-0.41,-0.22,-0.51,-0.24,-0.23
ILMN_1657204,-0.02,0.14,0.35,0.16,0.01
ILMN_1790987,0.03,0.17,0.3,0.05,0.1
ILMN_2325234,-0.1,-0.03,0.2,0.31,0
ILMN_1711596,-0.1,-0.03,0.2,0.31,0
ILMN_1692429,-0.1,-0.03,0.2,0.31,0
ILMN_2393763,-0.04,-0.07,0.28,0.32,-0.04
ILMN_1803183,-0.04,-0.07,0.28,0.32,-0.04
ILMN_1707336,-0.04,-0.07,0.28,0.32,-0.04
ILMN_2085760,-0.16,-0.21,-0.39,-0.03,0.06
ILMN_2388605,0.07,0.09,-0.33,0.07,-0.06
ILMN_1657237,0.14,0.17,0.33,0.19,-0.07
ILMN_1692962,-0.08,-0.05,-0.19,-0.3,-0.16
ILMN_2329290,0.05,0.24,0.43,0.22,0.1
ILMN_1680993,0.05,0.24,0.43,0.22,0.1
ILMN_1746788,0.05,0.24,0.43,0.22,0.1
ILMN_1694208,0.05,0.24,0.43,0.22,0.1
ILMN_1810200,-0.09,-0.13,-0.03,0.28,-0.16
ILMN_2255021,-0.09,-0.13,-0.03,0.28,-0.16
ILMN_1792489,-0.09,-0.13,-0.03,0.28,-0.16
ILMN_1695658,-0.7,-0.26,-0.41,0.5,0.02
ILMN_1695821,0,0.02,-0.11,-0.27,-0.26
ILMN_1792314,-0.11,-0.06,-0.07,0.35,0.05
ILMN_1692620,-0.09,0.02,0.27,-0.06,-0.13
ILMN_1680626,-0.18,-0.15,-0.1,0.31,0.13
ILMN_1737126,-0.31,0.26,0.3,0.55,0.26
ILMN_1653871,-0.31,0.26,0.3,0.55,0.26
ILMN_1753111,-0.31,0.26,0.3,0.55,0.26
ILMN_2291092,0.04,-0.11,-0.54,-0.22,-0.2
ILMN_1752510,0.04,-0.11,-0.54,-0.22,-0.2
ILMN_2401258,0.04,-0.11,-0.54,-0.22,-0.2
ILMN_2401253,0.04,-0.11,-0.54,-0.22,-0.2
ILMN_1800267,0.04,-0.11,-0.54,-0.22,-0.2
ILMN_2357809,0.36,0.21,0.17,-0.49,0.1
ILMN_2344455,0.36,0.21,0.17,-0.49,0.1
ILMN_2364272,0.25,-0.19,-0.64,-0.81,-0.14
ILMN_1658015,0.25,-0.19,-0.64,-0.81,-0.14
ILMN_1684316,0.25,-0.19,-0.64,-0.81,-0.14
ILMN_1736575,0.01,0,0.34,0.18,-0.15
ILMN_1708580,-0.12,-0.12,0.14,0.81,0.51
ILMN_1712040,0.16,0.22,-0.13,0.31,-0.19
ILMN_1813982,0.16,0.22,-0.13,0.31,-0.19
ILMN_2271584,0.16,0.22,-0.13,0.31,-0.19
ILMN_1678353,0.16,0.22,-0.13,0.31,-0.19
ILMN_1696590,0.09,0.13,-0.11,0.62,0.33
ILMN_1665559,0.01,0.29,0.49,0.57,0.32
ILMN_1653443,0.01,0.29,0.49,0.57,0.32
ILMN_1813766,0.07,0.38,0.19,0.29,0.08
ILMN_1786532,0.12,0.19,-0.23,0.33,0.32
ILMN_2330112,0.12,0.19,-0.23,0.33,0.32
ILMN_1758543,0.12,0.19,-0.23,0.33,0.32
ILMN_1738239,-0.09,-0.18,-0.2,-0.29,-0.19
ILMN_1754708,-0.02,-0.37,-0.13,-0.34,-0.24
ILMN_1747358,-0.02,-0.37,-0.13,-0.34,-0.24
ILMN_1669703,-0.02,-0.37,-0.13,-0.34,-0.24
ILMN_1718907,-0.1,-0.09,-0.38,-0.16,-0.21
ILMN_1752932,-0.13,-0.21,-0.36,0.3,0.26
ILMN_2387078,-0.13,-0.21,-0.36,0.3,0.26
ILMN_1730007,-0.13,-0.21,-0.36,0.3,0.26
ILMN_1775016,-0.13,-0.21,-0.36,0.3,0.26
ILMN_1811277,-0.09,-0.11,-0.3,-0.29,0.02
ILMN_2350122,-0.09,-0.11,-0.3,-0.29,0.02
ILMN_2350114,-0.09,-0.11,-0.3,-0.29,0.02
ILMN_2262275,-0.09,-0.11,-0.3,-0.29,0.02
ILMN_1662686,0.03,-0.03,0,-0.33,-0.12
ILMN_1745132,0.05,-0.09,-0.34,-0.24,-0.16
ILMN_1660021,-0.05,-0.15,-0.3,-0.06,-0.08
ILMN_1753404,0.15,-0.15,0.14,-0.23,0.08
ILMN_2314244,0.15,-0.15,0.14,-0.23,0.08
ILMN_1727840,-0.13,-0.04,0.13,0.22,0.04
ILMN_1706706,-0.23,-0.27,-0.39,-0.12,-0.23
ILMN_1682264,-0.23,-0.27,-0.39,-0.12,-0.23
ILMN_1777913,-0.09,-0.05,-0.27,-0.12,-0.18
ILMN_1741957,-0.1,0.13,0.06,0.24,0.05
ILMN_1680091,0.02,-0.03,0.29,0.33,0.16
ILMN_1691860,-0.12,-0.18,-0.52,-0.47,-0.09
ILMN_2329914,-0.12,-0.18,-0.52,-0.47,-0.09
ILMN_1769280,-0.12,-0.18,-0.52,-0.47,-0.09
ILMN_2089329,0.1,0.06,-0.14,-0.39,-0.12
ILMN_1788457,0.16,0.02,-0.31,-0.48,0.05
ILMN_2194009,0.16,0.02,-0.31,-0.48,0.05
ILMN_1722648,-0.09,0.02,0.14,0.09,-0.34
ILMN_1690653,-0.03,-0.12,0.48,0.3,-0.11
ILMN_1656413,0.04,0.06,0.16,0.32,0.05
ILMN_1722811,0.2,0.05,0.21,0.33,0.11
ILMN_2196347,0.2,0.05,0.21,0.33,0.11
ILMN_3306742,0.23,0.23,0.37,0.24,-0.12
ILMN_3229733,0.23,0.23,0.37,0.24,-0.12
ILMN_1717925,0.23,0.23,0.37,0.24,-0.12
ILMN_1716374,0.23,0.23,0.37,0.24,-0.12
ILMN_2398489,0.23,0.23,0.37,0.24,-0.12
ILMN_1679324,-0.26,-0.18,-0.18,-0.42,-0.12
ILMN_1757255,0.05,0.08,0.2,-0.29,0.13
ILMN_1717714,0.05,0.08,0.2,-0.29,0.13
ILMN_1744295,0.05,0.08,0.2,-0.29,0.13
ILMN_1878273,-0.06,0.1,-0.19,0.23,0.19
ILMN_1740052,-0.06,0.1,-0.19,0.23,0.19
ILMN_1715540,0.22,0.14,0.27,0.11,0
ILMN_1689257,-0.06,0.1,-0.22,0.27,0.07
ILMN_2327090,-0.06,0.1,-0.22,0.27,0.07
ILMN_1683273,0.12,0.04,0.24,-0.04,0
ILMN_1740772,-0.04,-0.13,-0.11,-0.39,-0.27
ILMN_2320513,-0.04,-0.13,-0.11,-0.39,-0.27
ILMN_2320906,0.25,-0.05,0.18,-0.51,0.09
ILMN_1651652,0.25,-0.05,0.18,-0.51,0.09
ILMN_2363065,0.25,-0.05,0.18,-0.51,0.09
ILMN_1691001,0.25,-0.05,0.18,-0.51,0.09
ILMN_2081988,0.13,0.06,-0.25,-0.33,-0.13
ILMN_1703697,0.13,0.06,-0.25,-0.33,-0.13
ILMN_1688642,0.03,-0.15,0.19,0.36,0.12
ILMN_1741219,0.12,-0.08,-0.4,-0.33,-0.15
ILMN_2361643,0.12,-0.08,-0.4,-0.33,-0.15
ILMN_1651771,0.12,-0.08,-0.4,-0.33,-0.15
ILMN_1666305,-0.4,-0.16,0.04,0.52,0.14
ILMN_1800082,-0.01,0.12,0.32,0.45,0.2
ILMN_2323979,0.13,0,-0.02,-0.26,-0.07
ILMN_2110252,-0.08,0.17,0.16,0.3,0.12
ILMN_1735930,-0.02,0.13,0.26,0.41,0.28
ILMN_1663092,-0.11,-0.14,-0.27,-0.51,-0.31
ILMN_1791726,0.18,0.26,-0.08,0.45,-0.2
ILMN_1780769,0.39,0.16,0.33,0.52,0.16
ILMN_1778358,-0.01,-0.1,-0.24,-0.14,-0.15
ILMN_1809931,-0.18,-0.54,-1.02,-0.65,-0.59
ILMN_1664511,-0.07,0.07,0.23,0.17,0.16
ILMN_1713031,-0.15,-0.17,-0.43,-0.11,0.03
ILMN_2058795,-0.15,-0.17,-0.43,-0.11,0.03
ILMN_1719772,0.13,0.07,-0.09,0.39,0.25
ILMN_1655330,0.13,0.07,-0.09,0.39,0.25
ILMN_1662629,0.13,0.07,-0.09,0.39,0.25
ILMN_2135258,0.02,-0.09,0.24,0.46,0.07
ILMN_1709479,0.09,-0.06,-0.2,-0.46,-0.06
ILMN_1807044,-0.05,0.04,0.18,0.29,-0.05
ILMN_2195236,0.12,-0.01,-0.24,-0.42,-0.01
ILMN_1700604,-0.04,0.13,0.38,0.13,0.2
ILMN_1797074,0.01,0,0.11,0.33,0.2
ILMN_1807277,0.15,0.07,0.31,0.31,0.45
ILMN_1683475,-0.06,0.22,0.3,0.26,0.09
ILMN_1713833,-0.05,-0.13,-0.15,-0.64,0.14
ILMN_1761131,-0.05,-0.13,-0.15,-0.64,0.14
ILMN_2384536,-0.05,-0.13,-0.15,-0.64,0.14
ILMN_2398903,0.13,0.04,0.45,0.18,0.15
ILMN_1750658,0.13,0.04,0.45,0.18,0.15
ILMN_2289775,0.13,0.04,0.45,0.18,0.15
ILMN_1724407,0.05,0.02,0.51,0.62,0.17
ILMN_1784031,0.04,-0.05,0.29,0.03,0.03
ILMN_1658635,0.05,0.08,0.72,0.08,0
ILMN_2050813,0.05,0.08,0.72,0.08,0
ILMN_2192694,-0.16,0.21,-0.21,-0.44,0.08
ILMN_2192693,-0.16,0.21,-0.21,-0.44,0.08
ILMN_1705783,0.08,-0.03,0.43,0.26,0.13
ILMN_2358652,0.08,-0.03,0.43,0.26,0.13
ILMN_1691237,0.02,0.14,-0.34,-0.41,-0.05
ILMN_1797604,-0.14,0.04,-0.16,0.3,-0.05
ILMN_1712755,-0.11,0.01,-0.25,0.07,-0.01
ILMN_1693014,-0.13,0.24,0.39,0.27,0.02
ILMN_1811195,0.02,-0.16,-0.14,-0.25,-0.12
ILMN_1675124,-0.17,-0.21,-0.4,-0.76,-0.55
ILMN_2371590,-0.17,-0.21,-0.4,-0.76,-0.55
ILMN_1774513,-0.17,-0.21,-0.4,-0.76,-0.55
ILMN_1673649,-0.24,-0.1,0.43,0.29,-0.11
ILMN_2141790,-0.24,-0.1,0.43,0.29,-0.11
ILMN_1787628,0.18,0.18,0.49,0.14,0.12
ILMN_1705407,0.18,0.18,0.49,0.14,0.12
ILMN_2044832,0.18,0.18,0.49,0.14,0.12
ILMN_1790978,0.18,0.05,0.08,0.24,0.31
ILMN_1728714,-0.04,-0.03,0.08,0.27,0.04
ILMN_1810901,0.19,0.18,0.49,0.16,0.11
ILMN_1678841,-0.15,-0.03,0.01,0.51,0.71
ILMN_1716766,-0.23,0.28,0.76,0.05,-0.35
ILMN_1723418,-0.22,-0.08,-0.08,-0.23,-0.27
ILMN_1789990,-0.03,0.02,-0.08,0.27,0.01
ILMN_1728471,0.3,0.05,-0.09,-0.44,0.04
ILMN_2221408,0.3,0.05,-0.09,-0.44,0.04
ILMN_2341793,-0.21,0.05,0.28,0.26,-0.08
ILMN_1662954,-0.21,0.05,0.28,0.26,-0.08
ILMN_1703718,-0.21,0.05,0.28,0.26,-0.08
ILMN_1801257,-0.43,-0.07,0.28,0.59,0.19
ILMN_2392472,-0.43,-0.07,0.28,0.59,0.19
ILMN_1749792,-0.11,0.13,-0.03,0.27,0.04
ILMN_2258689,-0.11,0.13,-0.03,0.27,0.04
ILMN_1663446,-0.11,0.13,-0.03,0.27,0.04
ILMN_2326262,-0.11,0.13,-0.03,0.27,0.04
ILMN_2266224,-0.11,0.13,-0.03,0.27,0.04
ILMN_1664028,-0.09,0.09,0.22,0.27,0.18
ILMN_1658706,0.1,-0.23,-0.37,-0.66,-0.08
ILMN_2141259,0.02,0.12,0.29,0.11,0.11
ILMN_1751330,-0.06,-0.04,0.41,0.18,0.18
ILMN_2406313,-0.06,-0.04,0.41,0.18,0.18
ILMN_1716279,-0.32,-0.11,0.07,0.38,0.12
ILMN_2225718,-0.32,-0.11,0.07,0.38,0.12
ILMN_1675848,-0.04,-0.12,-0.01,0.33,0.08
ILMN_1664516,-0.25,0.04,0.16,0.38,0.23
ILMN_1812638,-0.03,0.07,0.07,0.29,0.09
ILMN_2079285,-0.03,0.07,0.07,0.29,0.09
ILMN_1670353,0.09,0.24,0.53,0.18,0.17
ILMN_1718832,0.22,0,0.05,-0.29,0.04
ILMN_1807423,0.02,0.22,-0.04,0.62,0.2
ILMN_1686516,-0.21,0.01,-0.25,-0.03,-0.16
ILMN_2382083,-0.21,0.01,-0.25,-0.03,-0.16
ILMN_1744059,0.09,-0.1,-0.36,-0.14,-0.13
ILMN_2204983,0.09,-0.1,-0.36,-0.14,-0.13
ILMN_1674265,-0.15,-0.13,-0.32,-0.12,0
ILMN_2073604,0.01,-0.07,0.12,0.35,0.02
ILMN_1695645,0.03,0.02,-0.23,-0.25,-0.13
ILMN_1717868,0.07,0.21,-0.14,-0.49,0.18
ILMN_2224031,-0.09,-0.04,-0.27,-0.25,-0.15
ILMN_2224034,-0.09,-0.04,-0.27,-0.25,-0.15
ILMN_2233552,0,0.21,0.18,0.27,0.04
ILMN_1751773,0,0.21,0.18,0.27,0.04
ILMN_1669377,0.08,-0.05,-0.11,0.29,0.2
ILMN_1774945,-0.23,-0.15,0.04,0.32,-0.13
ILMN_1740291,0.06,0.2,0.57,0.38,0.2
ILMN_1780291,0.15,-0.07,-0.29,-0.19,-0.09
ILMN_1655218,0.15,-0.07,-0.29,-0.19,-0.09
ILMN_1797594,0.15,-0.07,-0.29,-0.19,-0.09
ILMN_2097546,-0.02,0.1,0.27,0.42,0.19
ILMN_2339825,-0.07,-0.12,-0.33,-0.14,-0.18
ILMN_1734316,-0.07,-0.12,-0.33,-0.14,-0.18
ILMN_1786050,0.11,0.11,-0.12,-0.3,-0.14
ILMN_1765417,0.11,0.11,-0.12,-0.3,-0.14
ILMN_1689086,-0.16,-0.1,-0.23,0.36,0.23
ILMN_1792885,-0.16,-0.1,-0.23,0.36,0.23
ILMN_2242463,-0.16,-0.1,-0.23,0.36,0.23
ILMN_1696347,-0.16,-0.1,-0.23,0.36,0.23
ILMN_2342903,-0.1,0.05,0.06,0.28,-0.19
ILMN_1796177,-0.1,0.05,0.06,0.28,-0.19
ILMN_1738147,0.16,0.13,0.38,0.51,0.2
ILMN_1755727,-0.03,-0.21,-0.48,-0.48,-0.32
ILMN_2059505,-0.04,0.01,0.13,-0.46,-0.22
ILMN_1772798,-0.04,0.01,0.13,-0.46,-0.22
ILMN_1740197,-0.08,-0.2,-0.34,-0.54,-0.27
ILMN_2103397,-0.08,-0.2,-0.34,-0.54,-0.27
ILMN_2409451,-0.2,0.18,-0.46,0.02,-0.12
ILMN_2322552,-0.2,0.18,-0.46,0.02,-0.12
ILMN_1769433,0.11,0.06,0.13,0.43,0.19
ILMN_2293322,-0.16,0.26,0.6,0.27,-0.14
ILMN_2405521,-0.16,0.26,0.6,0.27,-0.14
ILMN_1674706,-0.16,0.26,0.6,0.27,-0.14
ILMN_1810423,0.02,0.27,0.2,0.25,0.2
ILMN_1717052,-0.06,-0.13,0.13,0.28,-0.03
ILMN_1799589,0.2,-0.28,-0.32,-0.59,-0.39
ILMN_1772605,-0.11,-0.15,-0.19,-0.33,0.05
ILMN_2314998,-0.11,0.02,-0.08,-0.29,-0.36
ILMN_2243553,-0.11,0.02,-0.08,-0.29,-0.36
ILMN_1709894,0.1,0.15,0,0.21,0.09
ILMN_1726743,-0.18,0.07,0.03,0.27,-0.06
ILMN_2357260,0.14,0.13,0.18,0.27,0.18
ILMN_1660426,0.14,0.13,0.18,0.27,0.18
ILMN_1676893,-0.1,0.2,0.26,0.61,0.39
ILMN_1767322,-0.2,-0.17,-0.03,0.74,0.19
ILMN_1683576,0.24,-0.22,-0.2,-0.44,-0.12
ILMN_1789567,0.24,-0.22,-0.2,-0.44,-0.12
ILMN_1661417,0.24,-0.22,-0.2,-0.44,-0.12
ILMN_1684984,0.24,-0.22,-0.2,-0.44,-0.12
ILMN_2373779,-0.03,0.16,0.08,-0.28,-0.05
ILMN_2337941,-0.03,0.16,0.08,-0.28,-0.05
ILMN_1705711,-0.03,0.16,0.08,-0.28,-0.05
ILMN_1691843,0.18,0.07,0.45,-0.04,-0.09
ILMN_2375386,0.18,0.07,0.45,-0.04,-0.09
ILMN_1691861,0.09,0.1,-0.11,-0.38,-0.24
ILMN_1664098,0.09,0.1,-0.11,-0.38,-0.24
ILMN_2407464,0.09,0.1,-0.11,-0.38,-0.24
ILMN_1760676,0.05,-0.01,-0.08,-0.51,-0.11
ILMN_1812726,0.05,-0.01,-0.08,-0.51,-0.11
ILMN_2395969,-0.21,0.17,-0.41,-0.17,-0.04
ILMN_2395974,-0.21,0.17,-0.41,-0.17,-0.04
ILMN_1768273,-0.08,0.1,-0.02,0.38,-0.1
ILMN_1774256,-0.06,-0.18,-0.08,-0.3,0.16
ILMN_2382964,-0.06,-0.18,-0.08,-0.3,0.16
ILMN_3249949,0.22,-0.03,-0.09,-0.24,-0.1
ILMN_1802649,0.22,-0.03,-0.09,-0.24,-0.1
ILMN_3250798,0.22,-0.03,-0.09,-0.24,-0.1
ILMN_1801852,-0.17,-0.14,-0.01,-0.25,-0.16
ILMN_1721128,-0.02,0.07,0.25,0.32,0.28
ILMN_1665065,0.07,-0.18,-0.4,-0.26,-0.22
ILMN_1713752,0.07,-0.18,-0.4,-0.26,-0.22
ILMN_1815656,0.07,-0.18,-0.4,-0.26,-0.22
ILMN_1789510,-0.14,0.02,0.23,0.31,0.04
