ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_3244154,0.24,0.09,0.37,0.22,0.15
ILMN_3256478,0.01,-0.16,-0.05,-0.35,-0.15
ILMN_3266197,0.07,0.13,0.05,0.51,0.13
ILMN_3234989,0.21,-0.2,0.48,0.21,-0.1
ILMN_1700337,-0.25,-0.06,0.66,0.55,0.04
ILMN_3311165,-0.09,-0.09,-0.34,-0.24,-0.13
ILMN_3311190,-0.09,-0.09,-0.34,-0.24,-0.13
ILMN_1793770,-0.23,-0.2,-0.2,-0.35,-0.15
ILMN_2402416,-0.23,-0.2,-0.2,-0.35,-0.15
ILMN_1746788,0.08,0.18,0.36,0.07,0.1
ILMN_1680993,0.08,0.18,0.36,0.07,0.1
ILMN_1694208,0.08,0.18,0.36,0.07,0.1
ILMN_2329290,0.08,0.18,0.36,0.07,0.1
ILMN_1801845,-0.01,-0.01,-0.08,-0.36,-0.32
ILMN_1653443,0.21,0.46,0.52,0.43,0.25
ILMN_1665559,0.21,0.46,0.52,0.43,0.25
ILMN_1813766,0.48,0.13,0.25,0.18,0.25
ILMN_1747358,-0.29,-0.17,-0.29,-0.27,-0.3
ILMN_1669703,-0.29,-0.17,-0.29,-0.27,-0.3
ILMN_1754708,-0.29,-0.17,-0.29,-0.27,-0.3
ILMN_1731137,-0.06,-0.02,-0.01,0.33,0.12
ILMN_1740772,-0.29,-0.06,-0.14,-0.32,-0.25
ILMN_2320513,-0.29,-0.06,-0.14,-0.32,-0.25
ILMN_1651771,-0.17,-0.2,-0.35,-0.29,-0.12
ILMN_2361643,-0.17,-0.2,-0.35,-0.29,-0.12
ILMN_1741219,-0.17,-0.2,-0.35,-0.29,-0.12
ILMN_1666305,-0.12,-0.1,0.23,0.36,0.16
ILMN_1735930,0.3,0.15,0.32,0.35,0.57
ILMN_1664511,-0.06,0.07,0.21,0.3,0.1
ILMN_1792825,0,0.06,0.27,0.01,0.05
ILMN_1807277,0.3,0.25,0.02,0.49,0.47
ILMN_1750658,0.16,0.32,0.35,0.23,0.1
ILMN_2289775,0.16,0.32,0.35,0.23,0.1
ILMN_2398903,0.16,0.32,0.35,0.23,0.1
ILMN_1724407,0.03,0.14,0.39,0.63,0.07
ILMN_1792176,-0.05,-0.13,-0.01,-0.02,-0.34
ILMN_1674866,-0.05,-0.13,-0.01,-0.02,-0.34
ILMN_1770141,-0.05,-0.13,-0.01,-0.02,-0.34
ILMN_1806757,0.07,0.07,0.05,0.06,0.41
ILMN_1705407,0.31,0.3,0.29,0.37,0.34
