NAME,HOX_D1,HOX_D2,HOX_D4,HOX_D7,HOX_D14
ILMN_2053546,-0.648248538,0.027335661,-0.03789952,-0.840129108,-0.173554456
ILMN_1742981,0.596445743,0.289452229,-0.167664872,0.170265932,-0.053307577
ILMN_3224758,0.51500854,0.072121062,-0.048392328,0.063114523,-0.103068787
ILMN_1755115,-0.432119801,0.044306233,-0.086660904,-0.540994292,-0.237224914
ILMN_1789702,0.009098776,0.123383874,0.215799258,-1.275781132,0.026091087
ILMN_2053546,-0.648248538,0.027335661,-0.03789952,-0.840129108,-0.173554456
ILMN_1784217,-0.171914748,-0.375191938,-0.256473144,-0.97748146,0.073479647
ILMN_1652082,-0.078521725,-0.013694168,-0.126125009,-0.677276977,0.15559456
ILMN_2053178,-0.438556595,0.02890982,0.082894933,-0.573477776,-0.029580187
ILMN_1656625,-0.355047215,-0.005476795,-0.199327644,-0.457417122,-0.120738949
ILMN_1665909,-0.435268778,0.072852883,-0.183646802,-0.581884995,-0.081579162
ILMN_3246292,-0.39645775,0.049437775,-0.128479077,-0.531876321,-0.107918233
ILMN_1803429,0.129517778,0.138226394,0.208560876,0.803249912,0.221081702
ILMN_1670881,0.175554998,-0.060116267,0.091901749,0.924698267,0.128478952
ILMN_2051519,-0.361651973,0.075446411,0.063875741,-0.517797015,0.004252678
ILMN_1698020,0.280967139,-0.160748162,0.139368843,0.649743835,0.042860051
ILMN_1655561,-0.355991531,-0.126548692,-0.24944636,-0.63465998,0.002177913
ILMN_1737988,-0.022649697,0.285611164,0.164192705,0.596066168,0.136853878
ILMN_2134062,0.068337463,-0.056581673,-0.050014072,0.955751925,-0.134444607
ILMN_2215061,-0.371527781,0.161423411,-0.031953005,-0.520116205,-0.072203392
ILMN_1713636,-0.413893007,-0.222265107,-0.033977343,-0.690506285,-0.000114874
ILMN_1655377,-0.201648372,0.099194541,0.00824829,-0.461700527,-0.059690197
ILMN_2050434,-0.398438514,0.076883332,0.034424395,-0.557831636,-0.058325514
ILMN_1725791,-0.030982206,-0.400958654,-0.149883217,-0.508019508,0.038339368
ILMN_1687805,-0.351706802,0.088432696,-0.138725994,-0.399917369,-0.036080942
ILMN_2394438,-0.37631976,0.08904858,-0.107088944,-0.496049344,-0.062796265
ILMN_2337655,-0.141614724,0.281952095,-0.194276589,-0.441721712,0.005557035
ILMN_1710325,-0.074508215,-0.30412273,-0.123519164,-0.536580567,-0.078113028
ILMN_1801853,0.151057294,0.137529465,0.167624399,0.464142959,0.060580899
ILMN_1683146,-0.085266159,0.340248908,0.268576292,0.585416933,-0.115463294
ILMN_1762725,0.016781615,0.10030067,-0.091714907,0.530581972,-0.03886733
ILMN_1802360,0.064530119,0.053357591,0.032401618,0.478598455,-0.036119859
ILMN_1727142,0.006459787,-0.008936547,0.104000339,0.445486855,0.071630494
ILMN_3282174,0.259919309,0.073811058,0.065385351,0.45834697,-0.237309332
ILMN_1698726,0.299923623,0.073497707,0.154398006,0.387372236,0.136909332
ILMN_3288587,-0.109881558,-0.077172671,-0.136936852,-0.48585884,-0.039818116
ILMN_1691117,-0.069636594,0.197909078,-0.180851247,-0.457828237,-0.064157581
ILMN_2088825,-0.239030132,-0.0308497,-0.079290753,-0.474905861,-0.234832534
ILMN_1779376,-0.141305422,0.405171816,0.087859333,-0.531685276,0.105935878
ILMN_1750181,-0.17881389,-0.095572738,-0.219401414,-0.737321631,-0.147702842
ILMN_2319996,-0.274669266,-0.026272252,-0.092447738,-0.479597799,-0.125477046
ILMN_3283449,0.557046077,0.277515408,0.078233002,0.748991423,-0.367779447
ILMN_1716651,-0.187267362,0.050465056,-0.229480579,1.128171579,-0.24392693
ILMN_3299478,0.045450049,-0.222727347,-0.010549601,0.428402525,0.019685584
ILMN_3292008,0.189138116,0.051179309,-0.092408907,0.47496716,-0.208449497
ILMN_1753064,0.055902412,0.152108831,0.028428316,0.433945246,0.1247886
ILMN_3274666,0.218600192,-0.085498293,-0.053751787,0.506513464,-0.288306808
ILMN_3219764,-0.002122166,0.029323717,0.097729712,0.416152246,-0.081256428
ILMN_3226291,0.016808571,0.073602618,-0.040535711,0.501492985,-0.158303003
ILMN_1660869,-0.178361617,-0.12179246,-0.254846754,-0.41552408,0.014343763
ILMN_1764230,-0.198750847,-0.165509359,-0.259508931,-0.47143688,0.09634597
ILMN_3241462,-0.364502934,0.194270085,-0.008286654,-0.424653554,0.009239943
ILMN_3289100,0.038953087,-0.027674256,-0.057805113,0.538714935,-0.154580474
ILMN_1675460,0.14849048,0.02529111,0.06035678,0.481368453,-0.05914386
ILMN_1709348,-0.049479719,-0.567205914,-0.143802296,-0.582907596,0.100198419
ILMN_1792990,0.186064415,0.072422894,0.013561218,0.428923089,0.067609191
ILMN_1746090,0.110917729,0.158974298,0.36080043,0.437054546,0.156050294
ILMN_1680403,0.189823483,-0.14196568,-0.041366494,0.48566907,0.214970152
ILMN_3280020,0.071773169,0.006801324,0.08140256,0.572611424,-0.638818514
ILMN_2041368,-0.348485311,-0.002154126,-0.065182499,-0.437766965,-0.154199907
ILMN_1684017,-0.121461205,-0.294041653,-0.069570525,-0.48351169,-0.159382007
ILMN_1733831,0.215173748,0.2784869,0.111077727,0.774085618,0.169901884
ILMN_1654013,-0.118144966,-0.159146773,-0.171716754,-0.419094021,0.197645868
ILMN_1779401,-0.161016691,-0.324391567,-0.218552159,-0.475169772,-0.077448248
ILMN_1685538,0.161116124,0.124598813,0.03562813,0.440371331,-0.082427301
ILMN_1810577,-0.024898044,-0.17597735,-0.118748005,0.406803028,0.00336322
ILMN_2370365,-0.073724181,-0.08250417,-0.064782322,-0.484452335,-0.022291219
ILMN_1694539,-0.109770837,0.083831744,0.017943282,-0.388030099,-0.165073524
ILMN_1709233,0.092647149,-0.039125851,0.220878463,0.456698305,0.319497571
ILMN_1788022,0.41214992,0.451849636,0.243522809,0.460910715,0.365739408
ILMN_1723729,0.091767886,0.217117807,-0.008278731,0.495989566,0.377716238
ILMN_2412521,-0.433113165,0.025292253,-0.116576782,-0.437203901,-0.090115928
ILMN_1785404,-0.174765883,-0.469293748,-0.066736197,-0.852725771,0.131399377
ILMN_1696568,-0.20760219,0.195935132,0.071767235,-0.483486211,-0.134716439
ILMN_1682567,0.163083859,0.002177834,0.373907808,0.600231793,0.094372227
ILMN_1794266,0.299102811,-0.046849448,-0.01579409,0.379301154,0.218522719
ILMN_1676765,0.247702911,-0.015596581,0.095562653,0.386979129,-0.120808514
ILMN_1759297,0.255357896,0.036049369,0.099570572,0.472701897,0.072274702
ILMN_1769014,0.315423362,0.05161045,0.047255181,0.442588771,0.17372878
ILMN_1763365,-0.128946171,0.060129877,0.030816661,-0.334521794,-0.011815495
ILMN_1668228,0.359738239,0.098602155,-0.062154095,0.669046998,0.076488637
ILMN_2330243,-0.106533798,-0.094897396,-0.221095087,-0.388445713,-0.037810468
ILMN_1691731,-0.218212617,0.11754929,0.001185476,-0.397379765,-0.007624153
ILMN_2133996,0.203187963,0.126676312,-0.056528548,0.337095367,0.159229214
ILMN_3240740,0.122221328,0.124928249,0.123797234,0.385422615,0.063404466
ILMN_1685496,0.134052756,-0.119156846,0.018122136,0.518386424,0.08605236
